sent_rows_count;type;origin;execution_time;file;revision;version;fullcharge;store_reference;channel_id;shared_integration_channels;ts;creation_date;output_channel_id
0;lot;catchfiles;0.003552;gs://storage-client2/7c2cfcae13c/20230110162838_r6.zip;r4;v2;false;te85-667d;3;;2023-01-10 19:28:38;2023-01-10;4
766;order;catchfiles;0.003552;gs://storage-client2/71-ba84-424f-aa97-87c2cfcae13c/20230110162838_r6.zip;r4;v2;false;ba30-562d;3;;2023-01-10 19:28:38;2023-01-10;2
